ID,品名,購入パック数,1パック入数,使用数,余り,税込パック単価,購入小計,価格区分,URL,注意,計上単位,調達状態
F01,MISUMI NFSL6-3030-400 4本組,1,4,4,0,1952,1952,observed_carried_from_A2,https://www.amazon.co.jp/dp/B0DKF2CCW3,切断不要。左右外周2本と内部2本。,本,未発注・受入確認待ち
F02,MISUMI NFSL6-3030-300 4本組,1,4,2,2,1467,1467,observed_carried_from_A2,https://www.amazon.co.jp/dp/B0DKDZ8G9G,切断不要。前後各1本、予備2本も購入費に含む。,本,未発注・受入確認待ち
F03,MISUMI HBLFSN6-SET 純正6シリーズ接合セット,8,1,8,0,192.5,1540.0,manufacturer_catalog_reference,https://jp.misumi-ec.com/vona2/detail/110300442340/,2026年7月の公式表: 本体78円+SET97円=税別175円/組。8組×175×1.10=1540円の参考換算。各組にCBM6-12×2とHNTT6-6×2を含む。請求時の丸め・個人購入経路・送料は未確定。第二案で確認した参考値を引継ぎ、この作業で価格を再照合していない。,組,個人購入経路・納入総額未確定
F04,MISUMI HNTT6-6 追加28個分の予算,1,28,28,0,1200,1200,allowance,https://jp.misumi-ec.com/vona2/detail/110302610850/,全44個=接合16+ガセット8+上部モーターマウント4+キャスター板4+低床クレードル4+後部電装トレイ4+前部電装トレイ4。SET付属16個を差し引き追加28個。1200円は数量分の仮枠で、28個入り販売パックを確認した意味ではない。H01には重複計上しない。,式（28個分仮枠）,個人購入経路・販売単位・現価格未確定
D01,Waveshare DDSM115 一体ホイールモーター・内蔵ドライバー,2,1,2,0,12991,25982,observed_2026_09_20,https://www.switch-science.com/products/9628,商品9628。2026-09-20の税込表示12991円/個を引継ぎ。タイヤと内蔵ドライバーを含むため別体ホイール・ハブ・軸・KP08・カップリング・カラー・外付けモータードライバーは計上しない。同時2個注文は標準送料0円の条件に該当。交換タイヤの単品調達・互換性は未確認。,個,未発注。確認時在庫表示3個、在庫確保なし。注文時価格・在庫・納期を再確認
E01,Devantech USB-RS485B 通信インターフェース,1,1,1,0,4400,4400,observed_2026_09_20,https://www.elefine.jp/SHOP/USB-RS485.html,2026-09-20の税込表示4400円。USBケーブル別売のためE02へ別計上。通常送料660円をS05へ計上。DDSM115との実機通信・終端・配線・制御ソフトは未検証。主計算機や電源を含まない。,個,予算選定・未発注。確認時在庫わずか表示。最安品との主張ではない
E02,USB-RS485Bと主計算機を接続するUSBケーブル予算,1,1,1,0,500,500,allowance,,USB-RS485BにはUSBケーブルが付属しないため500円を仮置き。機器側端子・主計算機側端子・長さを確定後、実商品の購入単位全額に更新する。RS485側の車内配線や電源配線は含まない。,本相当,端子・長さ・採用品・販売価格未確認
C01,ハンマーキャスター 420G-R50,1,1,1,0,373,373,observed_carried_from_A2,https://www.tanaka-km.com/view/item/000000036665,Aの販売情報を引継ぎ: 径50/幅20/高さ65、座59×47、穴ピッチ46×35、トレール16、許容荷重300Nの公称値。段差走行能力を認定する値ではない。個人購入可としたAの販売店を継続候補とし、本州送料650円を別計上。6mm取付スペーサーは撤去。,個,未発注・受入確認待ち
P01,キャスター板用 A5052 t4 素材予算,1,1,1,0,900,900,allowance,,完成板80×170×t4を1枚。900円はこの1枚を切り出す購入素材分の仮枠で、完成加工価格ではない。販売寸法・最小注文単位・切りしろ・つかみ代を確認して更新する。旧200角から車軸板2枚を作る構成は廃止。,式（1枚切出し素材相当）,販売単位・素材価格・切出し条件未見積
P02,上部マウント用 アルミアングル 40×40×t5 L200 素材予算,1,1,1,0,1000,1000,allowance,,候補購入長200mmからL80×2を切り出し、縦脚を40→30mmへ切り詰めて完成40×30×t5×L80を2個。残り40mmは切りしろ等に充てる想定。材質・内R・寸法公差・販売単位・保持方法と局所fillet逃げ加工は未確認。完成品価格ではない。,本相当,寸法候補のみ。購入先・合金種・実断面・価格・加工条件未見積
P03,A5052板 t3 150x150mm 素材予算,1,1,1,0,500,500,allowance,,Aの素材仮枠500円を維持。60×60直角三角ガセット4枚。販売単位と加工条件は未確定。,枚相当,販売単位・価格・加工条件未確認
