ID,品名,購入パック数,1パック入数,使用数,余り,税込パック単価,購入小計,価格区分,URL,注意,計上単位,調達状態
F01,MISUMI NFSL6-3030-400 4本組,1,4,4,0,1952,1952,observed_carried_from_A,https://www.amazon.co.jp/dp/B0DKF2CCW3,切断不要。左右外周2本と内部2本。,本,未発注・受入確認待ち
F02,MISUMI NFSL6-3030-300 4本組,1,4,2,2,1467,1467,observed_carried_from_A,https://www.amazon.co.jp/dp/B0DKDZ8G9G,切断不要。前後各1本、予備2本も購入費に含む。,本,未発注・受入確認待ち
F03,MISUMI HBLFSN6-SET 純正6シリーズ接合セット,8,1,8,0,192.5,1540.0,manufacturer_catalog_reference,https://jp.misumi-ec.com/vona2/detail/110300442340/,2026年7月の公式表: 本体78円+SET97円=税別175円/組。8組×175×1.10=1540円の参考換算。各組にCBM6-12×2とHNTT6-6×2を含む。請求時の丸め・個人購入経路・送料は未確定。第二案で確認した参考値を引継ぎ、この作業で価格を再照合していない。,組,個人購入経路・納入総額未確定
F04,MISUMI HNTT6-6 追加28個分の予算,1,28,28,0,1200,1200,allowance,https://jp.misumi-ec.com/vona2/detail/110302610850/,全44個=接合16+ガセット8+車軸板8+キャスター板4+電装トレイ4+低床クレードル4。SET付属16個を差し引き追加28個。1200円は数量分の仮枠で、28個入り販売パックを確認した意味ではない。H01には重複計上しない。,式（28個分仮枠）,個人購入経路・販売単位・現価格未確定
D01,DFRobot FIT0185 / 12V 83rpm 131:1 エンコーダ付き,2,1,2,0,3019.5,6039.0,observed_carried_from_A,https://www.digikey.jp/ja/products/detail/dfrobot/FIT0185/6588527,Aの2026-09-20確認価格を引継ぎ（税別2745円/個）。過去の在庫数を現時点の在庫保証とはしない。45kgfcmは拘束トルクで連続値ではない。送料を別に計上。,個,低価格試作候補・連続性能未確認・未発注。比較はMOTOR_SELECTION.ja.md
D02,100mm金属ホイール＋ネオプレンタイヤ / 穴8mm / 幅25.4mm,2,1,2,0,2605,5210,observed_carried_from_A,https://www.amazon.co.jp/dp/B0B23WBLBK,約300g/個。ハブなし。PCD24の取付穴加工を別途見込む。許容輪荷重は非公表。,個,未発注・受入確認待ち
D03,uxcell 8mmフランジハブ H13 / 胴16 / フランジ32 / PCD24 2個組,1,2,2,0,1341,1341,observed_carried_from_A,https://www.amazon.co.jp/dp/B07PTPFX35,M4止めねじ2本/個付属。車輪側4穴は既存穴に合うと仮定せず現物確認して加工。,個,未発注・受入確認待ち
D04,uxcell C45クロムメッキ軸 8x100mm 2本組,1,2,2,0,828,828,observed_carried_from_A,https://www.amazon.co.jp/dp/B0G3Y7811K,切断不要。止めねじ部の浅い平面加工を見込む。直径公差は受入確認。,個,未発注・受入確認待ち
D05,uxcell KP08 軸受 8mm 2個組,2,2,4,0,849,1698,observed_carried_from_A,https://www.amazon.co.jp/dp/B0DSKB5QQN,左右2個ずつを反転取付。L55、取付ピッチ42、軸心高15のA候補を維持。足を支持板下面へ固定する。足厚・穴径・取付姿勢での荷重仕様・現物適合は受入確認。,個,未発注・受入確認待ち
D06,uxcell ジョーカップリング 6→8mm / D20 L25,2,1,2,0,999,1998,observed_carried_from_A,https://www.amazon.co.jp/dp/B0CWNQJWPH,Aと同じ6→8mm/D20/L25候補。軸端間の公称隙間2mmと各軸の差込長は最終CAD・現物で再確認。許容連続トルク・許容偏心は非公表、負荷試験が必要。,個,未発注・受入確認待ち
